INFO 2025-07-07 17:35:01,895 autoreload Watching for file changes with StatReloader
INFO 2025-07-07 17:37:22,221 autoreload Watching for file changes with StatReloader
INFO 2025-07-07 17:37:33,309 basehttp "GET /library/document/1/ HTTP/1.1" 200 24120
INFO 2025-07-07 17:37:34,468 basehttp "GET /library/document/1/page/0/?zoom=1 HTTP/1.1" 200 1062047
INFO 2025-07-07 17:37:35,625 basehttp "GET /library/ HTTP/1.1" 200 14356
INFO 2025-07-07 17:37:38,205 basehttp "GET /library/document/1/ HTTP/1.1" 200 24120
INFO 2025-07-07 17:37:38,958 basehttp "GET /library/document/1/page/0/?zoom=1 HTTP/1.1" 200 1062047
INFO 2025-07-07 17:39:00,003 basehttp "GET /library/document/1/ HTTP/1.1" 200 24120
INFO 2025-07-07 17:39:00,808 basehttp "GET /library/document/1/page/0/?zoom=1 HTTP/1.1" 200 1062047
INFO 2025-07-07 17:39:01,744 views Extracting hadiths from document 1
INFO 2025-07-07 17:39:01,970 hadith_processor Extracting text from PDF file
INFO 2025-07-07 17:39:01,970 hadith_processor Starting PDF extraction with OCR: False
INFO 2025-07-07 17:39:01,970 hadith_processor File type: <class 'django.db.models.fields.files.FieldFile'>
INFO 2025-07-07 17:39:02,117 hadith_processor Attempting standard text extraction...
INFO 2025-07-07 17:39:02,171 hadith_processor Attempting PyPDF2 text extraction
INFO 2025-07-07 17:39:02,341 hadith_processor PDF has 179 pages
WARNING 2025-07-07 17:39:02,392 hadith_processor No text found on page 1
WARNING 2025-07-07 17:39:02,393 hadith_processor No text found on page 2
WARNING 2025-07-07 17:39:02,393 hadith_processor No text found on page 3
WARNING 2025-07-07 17:39:02,394 hadith_processor No text found on page 4
WARNING 2025-07-07 17:39:02,395 hadith_processor No text found on page 5
WARNING 2025-07-07 17:39:02,395 hadith_processor No text found on page 6
WARNING 2025-07-07 17:39:02,396 hadith_processor No text found on page 7
WARNING 2025-07-07 17:39:02,396 hadith_processor No text found on page 8
WARNING 2025-07-07 17:39:02,397 hadith_processor No text found on page 9
WARNING 2025-07-07 17:39:02,398 hadith_processor No text found on page 10
WARNING 2025-07-07 17:39:02,399 hadith_processor No text found on page 11
WARNING 2025-07-07 17:39:02,399 hadith_processor No text found on page 12
WARNING 2025-07-07 17:39:02,400 hadith_processor No text found on page 13
WARNING 2025-07-07 17:39:02,400 hadith_processor No text found on page 14
WARNING 2025-07-07 17:39:02,401 hadith_processor No text found on page 15
WARNING 2025-07-07 17:39:02,402 hadith_processor No text found on page 16
WARNING 2025-07-07 17:39:02,402 hadith_processor No text found on page 17
WARNING 2025-07-07 17:39:02,403 hadith_processor No text found on page 18
